Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Siddapur1,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Lower,2019,76.63333333,15.52916667,135,64,243,25.536,1123,97.75,7.19,NaN
Siddapura1,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.9125,13.66666667,49.7,8,42.7,3.63,300,35,7.262,NaN
Siddavvanadurga,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Lower,2019,76.31666667,14.35833333,468.6,16,427,41.276,2830,528.3,8.422,NaN
Sirsi1,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2019,74.87361111,14.625,31.95,12,82,9.68,381,43,7.75,NaN
Somvarpet1,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.83333333,12.6,46.15,34,55,18.24,410,15.4,7.8,NaN
Sona,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.63333333,16.99166667,276.9,116,170.8,72.96,2060,236.2,7.91,NaN
Sreenivasa Agrahara,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.71083333,12.42861111,145,14,254,25.536,1031,155,9.51,NaN
Srinivasapura,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.35416667,12.84722222,89,8,366,158,882,32,9.2,NaN
Srirangapatna,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.68472222,12.42083333,39.05,14,96,2.432,891,75,8.83,NaN
Sukvarsanthe,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,75.80555556,12.8625,36,32,73,24,408,22,8.37,NaN
Sulla,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2019,75.17722222,15.45138889,280,156,248,46.208,1576,112,7.98,NaN
Sunkatti,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2019,74.84638889,14.30333333,14.2,30,86,2.42,306,15,7.54,NaN
Suntikoppa,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.82361111,12.44861111,85.2,50,122,21.888,380,14.35,8.2,NaN
Tadagavadi,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.83,12.44111111,195,26,224.412,38.912,2014,169,8.23,NaN
Talakal,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Upper,2019,76.01861111,15.3775,890,136,150,141.056,5472,586.5,7.46,NaN
Thekkatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.70194444,13.55333333,35.5,6,36.6,1.21,210,36,9.622,NaN
Tirumala Sagara Chatra,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.67138889,12.54861111,52,126,24.32,0.98,75,8.15,8.15,NaN
Titimathi,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.92916667,12.25833333,74,178,32.832,0.0883655,13.8,8.13,8.13,NaN
Trasi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.65277778,13.68916667,6,36.6,1.21,0.155963,27,7.356,7.356,NaN
T.Settigere,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.97222222,12.03416667,78,161,10.944,0.254701,10.65,8.5,8.5,NaN
Tumminkatti,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2019,75.23333333,15.01666667,36,164.7,64.448,1.58,45,7.76,7.76,NaN
Tyagli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.87444444,14.48277778,12,79.3,2.42,0.39,40,9.2,9.2,NaN
Uchila,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.75277778,13.19222222,12,18.3,3.63,0.53211,78,5.934,5.934,NaN
Udupi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.75,13.33333333,8,30.5,2.42,0.293578,22,7.109,7.109,NaN
Ukinal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.63333333,16.75833333,20,298.9,57.152,1.62,156.4,8.431,8.431,NaN
